crop,cost_seed,cost_fertilizer,cost_labor,yield,market_price,rainfall,temperature,profit
wheat,2000,4000,5000,1530,20.9,300,20,20977
wheat,2000,4000,5000,1800,22,500,25,28600
wheat,2000,4000,5000,2070,23.1,700,30,36817
rice,2500,6000,7000,2125,17.1,300,20,20837.5
rice,2500,6000,7000,2500,18,500,25,29500
rice,2500,6000,7000,2875,18.9,700,30,38837.5
maize,2200,4500,5500,1700,23.75,300,20,28175
maize,2200,4500,5500,2000,25,500,25,37800
maize,2200,4500,5500,2300,26.25,700,30,48175
tomato,8000,10000,15000,42500,8.55,300,20,330375
tomato,8000,10000,15000,50000,9,500,25,417000
tomato,8000,10000,15000,57500,9.45,700,30,510375
potato,6000,8000,12000,17000,17.1,300,20,264700
potato,6000,8000,12000,20000,18,500,25,334000
potato,6000,8000,12000,23000,18.9,700,30,408700
onion,5000,7000,9000,12750,23.75,300,20,281812.5
onion,5000,7000,9000,15000,25,500,25,354000
onion,5000,7000,9000,17250,26.25,700,30,431812.5
chickpea,1500,2500,3000,765,57,300,20,36605
chickpea,1500,2500,3000,900,60,500,25,47000
chickpea,1500,2500,3000,1035,63,700,30,58205
lentil,1300,2200,2800,595,61.75,300,20,30441.25
lentil,1300,2200,2800,700,65,500,25,39200
lentil,1300,2200,2800,805,68.25,700,30,48641.25
soybean,1700,3000,3500,1190,42.75,300,20,42672.5
soybean,1700,3000,3500,1400,45,500,25,54800
soybean,1700,3000,3500,1610,47.25,700,30,67872.5
cotton,2000,2500,4000,680,71.25,300,20,39950
cotton,2000,2500,4000,800,75,500,25,51500
cotton,2000,2500,4000,920,78.75,700,30,63950
